index,axis-0,axis-1
0.0,100.57409743643169,14.011803516755904
1.0,51.37678226475048,12.078284579877604
2.0,13.350909839477211,48.815144380565336
3.0,47.294908953562945,65.57230850017729
4.0,23.663010836161483,95.86410517793735
5.0,56.96250363795446,102.30916830086503
6.0,87.25430031571452,97.79762411481565
7.0,114.75323630687257,61.70527062642068
8.0,144.61536210977079,40.65139775819028
9.0,145.47470385949447,7.781575831259154
10.0,186.29343697136974,46.881625443687035
11.0,223.88963852178114,40.43656232075936
12.0,192.5236646568665,105.96137073719072
13.0,145.9043747343563,110.687750360671
14.0,132.3697421762082,149.1432936608061
15.0,99.4999202492771,152.15098978483903
16.0,31.61192202110562,136.89767372724353
17.0,17.432783150664733,170.41200196646744
18.0,65.34108569776043,175.56805246480957
19.0,170.6104500389124,137.97185091439815
20.0,153.6772850023311,188.77132310422505
21.0,201.15060720986966,179.69998765055524
22.0,238.94783826682715,193.6093686795156
23.0,268.5808674154818,168.51200725769584
24.0,243.18112814520637,122.24819644397991
25.0,268.5808674154818,102.89601414281768
26.0,267.0689781732035,61.47024890439229
27.0,325.4279029251458,49.07275711771024
28.0,351.1300200438769,81.42718690246583
29.0,316.05418962302036,117.712528717145
30.0,292.4687174434789,142.5075122905091
31.0,325.4279029251458,166.6977401669619
32.0,298.81865226104776,195.1212579217939
33.0,340.5467953479288,208.7282611022986
34.0,361.4108668913693,171.2334078937968
35.0,389.5320067977457,137.36708886676288
36.0,409.18656694736353,106.5245483242856
37.0,395.27718591840323,70.84396220651774
38.0,431.5625277330824,135.2504439275733
39.0,408.2794334019966,180.30474334746657
40.0,298.5162744125921,29.418196968092364
41.0,336.91826116646087,-0.8195890309535656
42.0,401.32474288751644,30.02295151152373
43.0,432.4696612784494,44.83946608585106
44.0,456.75764145623157,14.026392285403801
45.0,498.44592976398565,2.0636660753526144
46.0,541.22173863629,28.889173334255275
47.0,563.6971636369922,0.6136386559524709
48.0,583.9975475085942,48.10203664130718
49.0,549.1968894429907,74.20253019050979
50.0,472.34543621478304,61.877297125608564
51.0,468.72036766628275,118.79087333706421
52.0,473.0704499244831,151.77899712841747
53.0,509.68364226433675,141.62880519261648
54.0,497.72091605428557,97.76547575576213
55.0,557.5345471045415,151.77899712841747
56.0,544.8468071847902,185.12962777462081
57.0,593.060218879845,161.56668220936848
58.0,583.9975475085942,121.32842132101446
59.0,630.0359180745487,119.15338019191425
60.0,664.4740692853021,102.11555801396257
61.0,630.3984249293987,75.65255760990992
62.0,636.5610414618493,31.789228173055562
63.0,660.1239870271017,152.50401083811755
64.0,630.3984249293987,174.61692898396979
65.0,629.3109043648486,226.09290237267487
66.0,599.2228354122956,248.93083422822718
67.0,568.0472458951925,219.56777898537422
68.0,528.1714918616885,224.28036809842473
69.0,476.6955184729835,201.44243624287242
70.0,495.9083817800354,232.98053261482556
71.0,465.4578059726324,228.63045035662515
72.0,416.1568737130275,223.55535438872465
73.0,373.01855798587326,231.1679983405754
74.0,312.8424200807673,242.04320398607646
75.0,351.6306535497211,257.993505599478
76.0,394.7689692768753,268.1436975352791
77.0,445.1574221010303,266.69367011587894
78.0,701.8122974605182,66.58988347295116
79.0,685.1369821374166,19.10148548759645
80.0,738.0629829455218,42.30192419799875
81.0,764.5259833495745,13.301375809995875
82.0,777.9387369790256,61.152280650200616
83.0,768.1510518980745,99.57800726430443
84.0,709.7874482672187,103.2030758128048
